0	32767
0.005	31167
0.01	26539
0.015	19354
0.02	10321
0.025	322
0.03	-9684
0.035	-18746
0.04	-26017
0.045	-30825
0.05	-32742
0.055	-31609
0.06	-27555
0.065	-20976
0.07	-12492
0.075	-2891
0.08	6947
0.085	16134
0.09	23851
0.095	29420
0.1	32364
0.105	32442
0.11	29670
0.115	24313
0.12	16857
0.125	7962
0.13	-1595
0.135	-10990
0.14	-19426
0.145	-26196
0.15	-30742
0.155	-32702
0.16	-31932
0.165	-28520
0.17	-22766
0.175	-15162
0.18	-6342
0.185	2968
0.19	12014
0.195	20073
0.2	26509
0.205	30825
0.21	32699
0.215	32003
0.22	28813
0.225	23396
0.23	16190
0.235	7762
0.24	-1235
0.245	-10113
0.25	-18204
0.255	-24908
0.26	-29736
0.265	-32345
0.27	-32563
0.275	-30394
0.28	-26017
0.285	-19766
0.29	-12110
0.295	-3608
0.3	5126
0.305	13472
0.31	20847
0.315	26742
0.32	30759
0.325	32639
0.33	32270
0.335	29698
0.34	25116
0.345	18852
0.35	11341
0.355	3096
0.36	-5329
0.365	-13378
0.37	-20527
0.375	-26319
0.38	-30390
0.385	-32494
0.39	-32515
0.395	-30471
0.4	-26509
0.405	-20896
0.41	-13998
0.415	-6254
0.42	1852
0.425	9819
0.43	17165
0.435	23450
0.44	28308
0.445	31462
0.45	32742
0.455	32089
0.46	29560
0.465	25321
0.47	19633
0.475	12836
0.48	5329
0.485	-2455
0.49	-10077
0.495	-17110
0.5	-23170
0.505	-27932
0.51	-31147
0.515	-32657
0.52	-32395
0.525	-30394
0.53	-26779
0.535	-21756
0.54	-15605
0.545	-8659
0.55	-1286
0.555	6127
0.56	13202
0.565	19581
0.57	24950
0.575	29048
0.58	31686
0.585	32747
0.59	32196
0.595	30077
0.6	26509
0.605	21679
0.61	15831
0.615	9253
0.62	2263
0.625	-4808
0.63	-11630
0.635	-17893
0.64	-23315
0.645	-27659
0.65	-30742
0.655	-32438
0.66	-32689
0.665	-31498
0.67	-28934
0.675	-25124
0.68	-20245
0.685	-14519
0.69	-8199
0.695	-1556
0.7	5126
0.705	11570
0.71	17514
0.715	22720
0.72	26985
0.725	30148
0.73	32097
0.735	32767
0.74	32147
0.745	30278
0.75	27245
0.755	23179
0.76	18247
0.765	12646
0.77	6594
0.775	322
0.78	-5938
0.785	-11955
0.79	-17514
0.795	-22421
0.8	-26509
0.805	-29643
0.81	-31725
0.815	-32695
0.82	-32534
0.825	-31261
0.83	-28934
0.835	-25645
0.84	-21514
0.845	-16691
0.85	-11341
0.855	-5646
0.86	206
0.865	6026
0.87	11630
0.875	16846
0.88	21514
0.885	25500
0.89	28689
0.895	30996
0.9	32364
0.905	32763
0.91	32196
0.915	30692
0.92	28308
0.925	25124
0.93	21241
0.935	16779
0.94	11871
0.945	6657
0.95	1286
0.955	-4094
0.96	-9339
0.965	-14311
0.97	-18883
0.975	-22941
0.98	-26388
0.985	-29143
0.99	-31147
0.995	-32362
1	-32767
1.005	-32366
1.01	-31179
1.015	-29248
1.02	-26630
1.025	-23396
1.03	-19633
1.035	-15435
1.04	-10905
1.045	-6153
1.05	-1286
1.055	3583
1.06	8348
1.065	12907
1.07	17165
1.075	21035
1.08	24442
1.085	27323
1.09	29627
1.095	31315
1.1	32364
1.105	32763
1.11	32515
1.115	31636
1.12	30153
1.125	28105
1.13	25540
1.135	22515
1.14	19093
1.145	15344
1.15	11341
1.155	7160
1.16	2879
1.165	-1428
1.17	-5684
1.175	-9819
1.18	-13765
1.185	-17460
1.19	-20847
1.195	-23877
1.2	-26509
1.205	-28708
1.21	-30447
1.215	-31709
1.22	-32482
1.225	-32765
1.23	-32563
1.235	-31888
1.24	-30759
1.245	-29201
1.25	-27245
1.255	-24925
1.26	-22280
1.265	-19354
1.27	-16190
1.275	-12836
1.28	-9339
