angle	VV	VH	HV	HH
0	-6.876933624183339	-41.73521908279259	-41.73501222647864	-3.090870576916308
0.1	-6.767269238427502	-42.44219116935142	-42.44196643311603	-3.151248546074565
0.2	-6.451565404185498	-43.31950796611439	-43.31927035018498	-3.328590501794666
0.3	-5.987217022919253	-43.89472884121418	-43.89449758376212	-3.598655561786233
0.4	-5.456460285040738	-44.84530569885749	-44.84508395031831	-3.924169942120423
0.5	-4.945884670321892	-45.44385309202313	-45.44366715740434	-4.256344717232879
0.6	-4.534473602441039	-45.95842188629226	-45.95828624974327	-4.541012533835025
0.7	-4.272220728889787	-46.24361666228588	-46.24354382053293	-4.726306785736592
0.8	-4.16373850418105	-45.75771392702516	-45.75769422926037	-4.792595783547129
0.9	-4.207935963877484	-45.70028615754968	-45.70030515973542	-4.734425812609825
1	-4.369033484065631	-45.64923968504272	-45.64929300414641	-4.584850772201461
1.1	-4.602187905659817	-45.68240275288242	-45.68248121978013	-4.393554811740449
1.2	-4.866632422065267	-45.54641420532819	-45.54650144941444	-4.203002136893609
1.3	-5.111041929068008	-46.00768535841189	-46.00779188525309	-4.063309217680063
1.4	-5.307100319066541	-46.31248517067492	-46.31260302706147	-3.997567208384126
1.5	-5.438443433549171	-46.27158223911862	-46.27169728508055	-4.008774362260677
1.6	-5.479450015852323	-46.51463761527475	-46.51475236077349	-4.092480102083121
1.7	-5.429711329125269	-45.9269864293772	-45.92709185796183	-4.217672357234586
1.8	-5.297987810900384	-45.47488036431028	-45.47497960078346	-4.346438196529922
1.9	-5.125504285568732	-44.64173720612013	-44.64183143071412	-4.427007915644497
2	-4.94373012040464	-43.7110040596132	-43.71109003472574	-4.439130181774678
2.1	-4.794449015552055	-42.94099062900489	-42.94108539728811	-4.380901147822801
2.2	-4.701786323731788	-42.27426481587286	-42.27436327242472	-4.285426474239908
2.3	-4.674936732304672	-41.56986799883428	-41.56994460751775	-4.197467342367294
2.4	-4.698391705804912	-41.34564437091949	-41.3457212934254	-4.164125458821588
2.5	-4.754837790510988	-41.15654740520754	-41.15662037909637	-4.206431199510271
2.6	-4.810394243170095	-41.01533966607143	-41.01540060519355	-4.336448534112137
2.7	-4.854922026004732	-41.22340435950824	-41.22345501782205	-4.526271365229711
2.8	-4.883980119835705	-41.66319467990658	-41.66323370324293	-4.739968439930914
2.9	-4.911184099276108	-42.13059922912798	-42.13063637659651	-4.920813679031625
3	-4.955370218712129	-42.72993882830747	-42.72996955409214	-5.012663460214908
3.1	-5.029198964134287	-43.24981588792955	-43.24984142598676	-4.98012336299119
3.2	-5.147907014652057	-44.08599115584708	-44.08601179460191	-4.805111422341564
3.3	-5.312674794588061	-44.68975028463106	-44.68975692148486	-4.521673602361198
3.4	-5.498439825363322	-45.1769115258384	-45.1769011989354	-4.200603811474014
3.5	-5.702019628416036	-45.10870622564698	-45.10868300419194	-3.902137205778719
3.6	-5.870804752645082	-44.83959777729115	-44.8395659451474	-3.69722106927951
3.7	-5.95909442319654	-44.54648709907835	-44.54645590380706	-3.620774916741981
3.8	-5.928117767932078	-44.16435880924215	-44.16432108424154	-3.683165178695219
3.9	-5.774150895557961	-43.91112984827981	-43.91109102298189	-3.868591825005596
4	-5.531863639772325	-44.03987438925191	-44.03983162529762	-4.13946909863934
4.1	-5.270633653320225	-44.19457246917426	-44.1945331559394	-4.43738684551705
4.2	-5.056947247406783	-44.29845162357583	-44.2984130655323	-4.705134127981911
4.3	-4.940973329054244	-44.65884911038263	-44.65880473687023	-4.895826634078603
