angle	VV	VH	HV	HH
2.9	-23.32577788624845	-189.4570122056417	-188.663888865364	-23.32577794859923
3	-23.32572808839664	-175.9089409645895	-175.8454838191924	-23.32572811638482
3.1	-23.32567768632236	-186.113416842793	-185.4726196524769	-23.32567768456924
3.2	-23.3256226863961	-185.1118132006825	-184.5358410383281	-23.32562266457033
3.3	-23.32557372406978	-184.4894282503143	-184.0271160383358	-23.32557369091368
3.4	-23.32552364230575	-184.8391035344449	-184.3521983561022	-23.32552359945803
3.5	-23.32547535502421	-191.1476168662025	-189.7655370697649	-23.32547526056459
3.6	-23.32543140407916	-190.4400018723157	-189.2294852497252	-23.32543131265991
3.7	-23.32538521075375	-190.1574399499636	-189.6655523585833	-23.32538508895457
3.8	-23.32534141461718	-190.9969739671507	-193.0436275981452	-23.32534127091143
3.9	-23.32529859248173	-192.7788760689506	-196.9717011687671	-23.32529847409013
4	-23.32525759418577	-190.9572999716537	-193.8079295323468	-23.3252574657782
4.1	-23.32521160401241	-188.7727559217881	-190.6418987935432	-23.32521147639016
4.2	-23.32516551331774	-186.967035084578	-187.6512543292143	-23.32516540851389
4.3	-23.32512231706666	-186.1516068668085	-186.7744695283662	-23.32512224307577
4.4	-23.32507314574802	-185.4040701847716	-185.9821470866897	-23.32507308356718
4.5	-23.3250242893706	-184.3906604271912	-184.8865613266949	-23.32502418972576
4.6	-23.32498128436573	-186.4577869452306	-187.9511173975243	-23.3249812786202
4.7	-23.32493347758598	-189.4690211150913	-192.6802457702486	-23.3249335049757
4.8	-23.32488083119783	-191.4655122704427	-198.9057350207833	-23.32488086914944
4.9	-23.32482655926881	-189.6996360670313	-192.9998863799611	-23.32482662228131
5	-23.32476660017757	-186.264852089177	-187.2741872557083	-23.32476666911856
5.1	-23.32470650756122	-184.6460339537117	-184.8998430393768	-23.32470660920466
5.2	-23.32464737004724	-184.4649225983331	-183.9715256157545	-23.32464748059038
5.3	-23.32458597219756	-184.0241826071638	-183.8092178019574	-23.32458605146466
5.4	-23.32452585345344	-184.8530641005149	-184.4161088297471	-23.32452593754539
5.5	-23.32447008353463	-185.7684676217094	-185.4273396674225	-23.3244701483224
5.6	-23.32441705558441	-180.4710171171896	-183.629705087946	-23.32441708297912
5.7	-23.32436861813624	-180.0816290459817	-180.5424127170366	-23.32436861983322
5.8	-23.32432794981937	-180.8730288445568	-181.0792241171447	-23.32432793305627
5.9	-23.32429060647797	-181.7097857894168	-182.083942825013	-23.32429053308469
6	-23.32425045253078	-182.1946855325833	-182.3144727547086	-23.32425036489107
6.1	-23.32421071861777	-182.8831906600665	-183.116487058397	-23.32421061984601
6.2	-23.32416948021237	-186.2789037889287	-185.5147816163044	-23.32416935035975
6.3	-23.32413216381752	-191.131393908709	-189.7547859025019	-23.32413202042342
6.4	-23.32409736595633	-193.256372954078	-191.6862887237019	-23.32409725168564
6.5	-23.32405895281507	-200.4389210442985	-197.4711355344934	-23.32405883311932
6.6	-23.32402530848891	-185.4810379275601	-198.9017926097919	-23.32402521804959
6.7	-23.32399786229215	-184.6832241315144	-199.2854825532709	-23.32399781283964
6.8	-23.32396662848687	-183.4148032901705	-199.2949684500808	-23.32396658075837
6.9	-23.32393990656211	-201.6105143973361	-199.2077953929082	-23.32393993039504
7	-23.32392057213362	-196.0307829214639	-196.5963471490836	-23.32392063426346
7.1	-23.32389883980577	-192.9541536245537	-196.7507124510801	-23.32389890760917
7.2	-23.32387558449434	-194.1434065372963	-199.375100988441	-23.32387567452746
7.3	-23.32385247944186	-204.5227395795243	-199.6674407014006	-23.32385257458163
7.4	-23.32382573932006	-186.3740568411552	-197.7805439525799	-23.32382583573158
7.5	-23.32380756097911	-184.7563080528874	-193.4478616305084	-23.32380765801065
7.6	-23.32379138504383	-183.7737293965821	-188.7411053373589	-23.32379146821383
7.7	-23.32377526366665	-181.2836971826657	-186.2649641131586	-23.3237753014267
7.8	-23.32375708463102	-181.1867480827052	-182.6966473931082	-23.32375708736546
7.9	-23.32373758159239	-180.0659577969789	-181.2237270642329	-23.32373754946261
8	-23.32371635425137	-181.1722519301919	-180.946110199774	-23.32371628303835
8.1	-23.32370039380445	-180.8392379092577	-180.6776907312583	-23.3237002904669
8.199999999999999	-23.32369244580706	-180.6345032019793	-184.9128050206739	-23.32369226911992
8.300000000000001	-23.32369241786684	-181.4107263771225	-183.9590478729713	-23.3236922413974
8.4	-23.32369217344278	-181.8230037226433	-183.2588560220694	-23.32369198613354
8.5	-23.32369600523836	-183.1239167395486	-183.4836073118841	-23.32369582791036
8.6	-23.32370368344344	-184.6224661178555	-185.4478569757348	-23.32370350564992
8.699999999999999	-23.32371292170942	-185.0886779952404	-187.9177197147932	-23.32371274075692
8.800000000000001	-23.32372863831109	-188.4296533110796	-189.248985754407	-23.32372847241169
8.9	-23.32374535636728	-184.7252635596286	-195.2491809837498	-23.32374516286804
9	-23.32376986061653	-184.0052725215463	-193.8231846557873	-23.32376974346716
9.1	-23.32379572935606	-178.4578137962506	-175.6947455233716	-23.32379566279521
9.199999999999999	-23.32382848432307	-194.4197297119097	-200.3079109676596	-23.32382848268097
9.300000000000001	-23.32386474362253	-188.5590903533533	-202.9741344489355	-23.32386477061914
9.4	-23.323905522484	-197.9313703196614	-200.5881800831689	-23.32390561418241
9.5	-23.32394278001679	-198.4729605105278	-201.8394880047335	-23.32394292314859
9.6	-23.32397589575115	-198.6334104285973	-203.0879118933494	-23.32397607088739
9.699999999999999	-23.32400483788424	-198.8598735854975	-204.1866958794828	-23.3240050257489
9.800000000000001	-23.32403328139726	-181.8006652779021	-194.6432830408	-23.32403348704778
9.9	-23.32406163133843	-181.200707263739	-190.1263428892488	-23.32406182572198
10	-23.3240923590273	-175.4010783351551	-187.0099605003004	-23.32409250501368
10.1	-23.32412041314804	-172.1570299068324	-181.9710227013236	-23.32412054096252
10.2	-23.32414725584716	-173.3233916693091	-180.7861922610455	-23.32414734243238
10.3	-23.32417327693111	-176.0950454431232	-179.3962693860921	-23.32417329778848
10.4	-23.32420143899615	-174.7112391225455	-179.7667054856286	-23.32420139934712
10.5	-23.32423356916091	-176.4129858727954	-180.0651988628425	-23.32423344103822
10.6	-23.32426968978922	-173.5189046615827	-179.3866010736023	-23.32426951828145
10.7	-23.32431546990154	-172.4922717892048	-178.8809176230861	-23.32431523655491
10.8	-23.32436977513241	-180.5097751087376	-180.4411511101372	-23.32436949051633
10.9	-23.32442624951665	-182.426809618943	-182.8107283814493	-23.32442592157523
11	-23.32448884450157	-184.6948064450475	-187.114848850226	-23.32448850689265
11.1	-23.32455195396536	-187.521963312188	-196.3381005308323	-23.32455161804094
11.2	-23.32461950721516	-187.6250926665171	-197.2032168456016	-23.32461920573336
11.3	-23.3246954254202	-178.8418906144213	-194.9930830235169	-23.3246951876346
11.4	-23.32477577179943	-176.965401541164	-192.7739111159163	-23.32477559622233
11.5	-23.32485915443208	-182.0537944044474	-194.8846995453267	-23.3248590838107
11.6	-23.32494912708781	-183.4316679793599	-178.7437783045672	-23.3249491123953
11.7	-23.32503728335798	-179.262242847749	-188.9506368565876	-23.3250373493957
11.8	-23.32512702006994	-177.4543961582964	-193.8973141308729	-23.3251271481253
11.9	-23.32521801261111	-177.6229593446477	-199.6781663691513	-23.32521818742411
12	-23.32530382655445	-177.381744080201	-222.5579763785271	-23.32530402855776
12.1	-23.32538596638764	-175.0270936363547	-193.4523225415458	-23.32538620437496
12.2	-23.32546767856159	-170.8703073619034	-196.6082295267345	-23.32546788411316
12.3	-23.32554934786121	-170.7315513769221	-186.5157587993656	-23.32554955981458
12.4	-23.32562605564521	-172.8926801639901	-182.6099402160918	-23.32562625625883
12.5	-23.32570159944991	-172.3703596150416	-180.4016583393652	-23.32570177649359
12.6	-23.32577840106691	-169.8317235844414	-179.9019413173743	-23.32577852888877
12.7	-23.3258580923016	-169.5194596317986	-178.3323573848912	-23.32585815308186
12.8	-23.32593207984388	-169.0612737852462	-177.0151101234671	-23.32593205492586
12.9	-23.32600451148748	-169.3523931072768	-176.7436855876851	-23.32600436253757
13	-23.32607897705156	-174.8512331386019	-174.3164360805747	-23.32607873349768
13.1	-23.3261590797421	-176.7044372002236	-176.9082757715057	-23.32615876764277
13.2	-23.32624527747972	-173.1696445658502	-174.8986092270096	-23.32624491139279
13.3	-23.326337675089	-181.1602164787075	-181.5022267996776	-23.32633729290801
13.4	-23.32643668145961	-185.3068514365043	-185.2822405874721	-23.32643632543722
13.5	-23.32653911610962	-189.0889425442801	-191.1091017531787	-23.32653882551103
13.6	-23.32664671998402	-180.8487707247511	-201.4720224671162	-23.32664653016111
13.7	-23.32675745971321	-172.2730567894905	-195.6883626134315	-23.32675735959091
13.8	-23.32687496851707	-173.2336027972656	-190.8987929326158	-23.32687501148317
13.9	-23.32698829852324	-168.1240206048271	-191.8926064634483	-23.32698845348872
14	-23.32709611181403	-173.925841486029	-192.6169720147233	-23.32709635334916
14.1	-23.32720057675629	-173.9530263014589	-190.9215158397166	-23.32720088309191
14.2	-23.32729791633429	-173.8254905071004	-189.5016042756862	-23.3272982677439
14.3	-23.32739156498702	-169.0755304878502	-188.1350675728385	-23.32739193874961
14.4	-23.32747999139804	-167.6686386064574	-193.7222430677686	-23.32748039614803
14.5	-23.32756473146943	-172.5353525450603	-195.5614579957525	-23.32756512657786
14.6	-23.32764558005813	-168.6120916617303	-193.5103166085099	-23.32764594496951
14.7	-23.32772596329855	-168.2610100601273	-195.3134900339499	-23.32772626657621
14.8	-23.3278011114977	-168.2283089405076	-195.6400521048937	-23.32780133934635
14.9	-23.32786846871862	-168.2322446643873	-195.9414278219693	-23.32786860154147
15	-23.32793280533425	-168.8853058706207	-197.3435880757932	-23.32793281974981
15.1	-23.32799465998886	-172.874030796787	-196.3069231706673	-23.3279945441602
15.2	-23.32805244266235	-172.7676623731496	-191.1383412875554	-23.32805218936502
15.3	-23.32810699969258	-165.7236354068317	-193.2246322143914	-23.32810657702638
15.4	-23.32815711159066	-167.688085810266	-191.3237768178863	-23.32815651332988
15.5	-23.32821077681089	-168.3970841679073	-177.4735439010209	-23.32821001583076
15.6	-23.32827849570008	-181.1893955580837	-181.8213077233099	-23.32827760610375
15.7	-23.32836384463144	-170.6776038044098	-178.6891711021	-23.3283629268732
15.8	-23.32846340925198	-167.5836312529948	-176.0996679782655	-23.32846256841611
15.9	-23.3285767109064	-164.2586042893096	-172.7793719961167	-23.32857599115587
16	-23.32869141445958	-161.3042743713561	-174.7757649600941	-23.32869086810904
16.1	-23.32879729039295	-161.1522894628909	-174.7562806187783	-23.32879689955028
16.2	-23.32889735035558	-159.3478969761925	-175.3865435725758	-23.32889708448008
16.3	-23.32899046416491	-157.9198842545505	-176.1566155822591	-23.32899030591084
16.4	-23.32907803987828	-156.7586030622867	-177.2534845734193	-23.32907796988046
16.5	-23.32915984865986	-155.7794465522509	-178.9804488224408	-23.32915984825242
16.6	-23.32923774063847	-154.6595496078127	-181.0437529998067	-23.32923777879358
16.7	-23.32931275043929	-154.2698431175661	-186.8574733018253	-23.32931283083097
16.8	-23.32937962932704	-154.0495715825261	-197.1933485696073	-23.3293797584345
16.9	-23.32943698677428	-153.8103863956059	-183.1917346903269	-23.32943714525365
17	-23.32948477220373	-153.7182581435869	-177.9884419609931	-23.32948494070803
17.1	-23.329522930276	-153.5618799519207	-174.7535549088198	-23.32952308940355
17.2	-23.32955139230393	-153.4354435109646	-172.4037068075606	-23.32955152271183
17.3	-23.32957008274121	-153.518422764928	-170.5597045514417	-23.3295701645291
17.4	-23.32957892085846	-153.5679516525661	-169.04391303865	-23.32957893472727
17.5	-23.32957781955642	-153.6523432258343	-167.7588302095532	-23.32957774613499
17.6	-23.32956669021851	-153.6612564192409	-166.6450867612036	-23.32956651096028
17.7	-23.32954544514354	-153.6877890669129	-165.6638852126589	-23.32954514130765
17.8	-23.32951400572409	-153.688257404199	-164.7884381941396	-23.32951355918664
17.9	-23.3294723013223	-153.6436545629728	-163.9994886471896	-23.32947169457719
18	-23.32942281481969	-155.3443824333867	-163.1450022056556	-23.32942199862138
18.1	-23.32949757576284	-154.0684762368209	-163.9971313087376	-23.32949681453906
18.2	-23.32956840716598	-154.2856397123817	-164.7864798357388	-23.32956782577433
18.3	-23.32962885238354	-154.5961795875523	-165.6624076114124	-23.3296284326244
18.4	-23.32967892760981	-154.8558873574027	-166.6442185575127	-23.32967864987662
18.5	-23.32971865503045	-155.0320291211107	-167.7587485625519	-23.32971849954332
18.6	-23.32974806559333	-155.3408418912512	-169.0448631509534	-23.32974801341379
18.7	-23.32976719451275	-155.6208030438486	-170.5620782564738	-23.32976722574207
18.8	-23.32977607288834	-155.9983685524856	-172.408165855723	-23.32977616782295
18.9	-23.3297747302622	-156.2890687252676	-174.7613331183825	-23.32977486870639
19	-23.32976318854923	-156.4497778945419	-178.0025578150502	-23.32976335044575
19.1	-23.3297414642638	-156.6164872574196	-183.222528507886	-23.32974162974703
19.2	-23.32970956476943	-157.026060223166	-197.3480094525423	-23.32970971373203
19.3	-23.32966749067939	-157.1994827356758	-186.7959443285573	-23.32966760335994
19.4	-23.32961664454945	-157.7391186999739	-181.0108391230554	-23.32961672108297
19.5	-23.32956208454421	-159.0161373410586	-178.964814151492	-23.32956212089403
19.6	-23.32950293646691	-159.9739405987779	-177.2446819554059	-23.3295029076738
19.7	-23.32943713178148	-161.0389958919349	-176.1535351103586	-23.32943701924836
19.8	-23.32936523267536	-162.4401918584358	-175.3878430358843	-23.32936501688385
19.9	-23.32928528427334	-164.2143948957689	-174.7562764788532	-23.32928494794367
20	-23.3291983806938	-164.3905008567723	-174.7738409306017	-23.32919790001785
20.1	-23.3291016807803	-164.5397061666205	-174.8007727026645	-23.32910103733816
20.2	-23.3290055707132	-170.4163553228674	-176.1016045057468	-23.3290047814525
20.3	-23.32892017979326	-173.4787823449214	-178.6933810253061	-23.32891929527522
20.4	-23.32884834005159	-182.2274402405062	-181.8349018331712	-23.32884744822472
20.5	-23.32879416505634	-173.8717350605492	-188.17142615311	-23.32879336370335
20.6	-23.32875131458865	-171.1645616595289	-191.4085974369516	-23.3287506673383
20.7	-23.32871005069166	-169.2482598212382	-193.331724769627	-23.32870958244212
20.8	-23.32866367030231	-176.4742173464703	-191.2377903817599	-23.32866337213141
20.9	-23.3286124736036	-176.5469803556804	-196.445065642303	-23.32861232334634
