angle	VV	VH	HV	HH
0	-4.828250874530516	-102.6312986524322	-102.6293421911531	-4.663948553413486
0.1	-4.822671177341011	-102.4113629704189	-102.4096974573867	-4.662994559736187
0.2	-4.805117551610741	-102.9085551760546	-102.9067806766831	-4.658589234463239
0.3	-4.774958073320613	-102.5038682219686	-102.5011963404627	-4.648060335612109
0.4	-4.733699747246299	-102.4296308029811	-102.4244090106023	-4.629885795383248
0.5	-4.686823923454973	-100.980683550557	-100.9732252306652	-4.606030376095757
0.6	-4.641939391935682	-101.196451769066	-101.1866503506446	-4.580804338585827
0.7	-4.604848461984216	-101.6925308973601	-101.6797093586553	-4.557676340393076
0.8	-4.577174201960261	-103.1818229751611	-103.1668466509394	-4.537310393294445
0.9	-4.557639897229294	-102.9668746411494	-102.9516090175373	-4.518792119402896
1	-4.546230342579757	-102.4119893728819	-102.3999980075388	-4.50341869987815
1.1	-4.545889447694727	-102.9892164234384	-102.9814832221118	-4.496191182435284
1.2	-4.56152472869881	-103.2717531368454	-103.2691719147278	-4.504108876271011
1.3	-4.597643340188736	-104.0272713549067	-104.0315187534526	-4.533458197987484
1.4	-4.653490185155158	-105.0998205182294	-105.1111271336356	-4.584683827064201
1.5	-4.721079148651398	-104.900673367836	-104.9184032790416	-4.65039671493177
1.6	-4.787258514502454	-105.6062885004068	-105.6268321436276	-4.717367268822287
1.7	-4.836833644149317	-104.8449581367393	-104.8613731354748	-4.769750218139768
1.8	-4.856762879561439	-103.5395273487371	-103.5483435200706	-4.793435222917116
1.9	-4.839283836341774	-102.6573163067792	-102.6595200412287	-4.7795798742088
2	-4.785413441879367	-101.9702987024985	-101.967337246894	-4.728356757520902
2.1	-4.705638217313039	-102.7643924440515	-102.7598376826245	-4.649876778275139
2.2	-4.619476874755835	-101.7874565590861	-101.7791518927672	-4.563764431537633
2.3	-4.549700458954081	-101.9299019931447	-101.9212601874506	-4.493284583253974
2.4	-4.518425610293496	-101.8179024057852	-101.8091701871246	-4.460979641289421
2.5	-4.538928778524749	-102.2084712309869	-102.2012543241757	-4.480327496041673
2.6	-4.612302460384901	-102.2614043827734	-102.2597964692274	-4.552475667548657
2.7	-4.725003042561312	-102.5927587120846	-102.5977195384796	-4.664017159653532
2.8	-4.853003086321943	-102.8312938165569	-102.8436518052788	-4.790807115530688
2.9	-4.966308014745455	-104.0913333682042	-104.1010447414912	-4.902960063651207
3	-5.038920480542251	-104.6071688125009	-104.6176946196298	-4.974528802863203
3.1	-5.056008483276731	-104.8977672990652	-104.9058442237436	-4.990885453277448
3.2	-5.0183961150053	-105.2824091569075	-105.2953050988475	-4.953193757424545
3.3	-4.942750188988397	-104.7530579713097	-104.7625385941008	-4.878244121142258
3.4	-4.854394091302497	-104.9745203650924	-104.9773390252263	-4.791355722850577
3.5	-4.77863743417587	-105.1846538104263	-105.1791708494053	-4.717487131147444
3.6	-4.733040476003485	-105.2133633227371	-105.2003909032046	-4.673834939771493
3.7	-4.723560311610262	-105.2872795435747	-105.2685838315124	-4.665992789240087
3.8	-4.745622856849197	-105.0482957897939	-105.0252440063451	-4.688903925122807
3.9	-4.787032680223966	-103.9196570360253	-103.8969587027246	-4.730188294193336
4	-4.835615126912286	-103.6868686887897	-103.6662359903237	-4.777637732447046
4.1	-4.884374969576426	-103.4244555101843	-103.4066068689949	-4.824552123304819
