angle	VV	VH	HV	HH
5.6	-4.77517048720394	-106.8109198106889	-106.7964922915537	-5.287227684663087
5.7	-4.94540854764863	-105.4567699177495	-105.4491599868086	-5.242852212764364
5.8	-5.120729697493855	-103.1346987853579	-103.1329397326138	-5.201289275574737
5.9	-5.261533337157048	-101.6379061454704	-101.6381530597262	-5.187180563982138
6	-5.345550535757013	-101.2056378955834	-101.2062364335417	-5.22570310379507
6.1	-5.375642903982549	-101.8610147715687	-101.8611474247946	-5.330939684293339
6.2	-5.374407850991695	-103.7338818104072	-103.7328860827138	-5.497454859650832
6.3	-5.369853310938066	-107.0093076786627	-107.0068786221385	-5.69805340960102
6.4	-5.38221023664636	-110.1285480681824	-110.1303899608947	-5.889326526140026
6.5	-5.416883779860106	-107.9670703948977	-107.9755565988391	-6.026871251573061
6.6	-5.463089391580298	-104.7580589686957	-104.7653852552275	-6.086843453827253
6.7	-5.501899319113842	-102.917191705842	-102.9227161390819	-6.07517713501414
6.8	-5.510938722645551	-102.3006419027147	-102.3043262727282	-6.029764340041065
6.9	-5.470438093261984	-102.7418080794325	-102.7431526652808	-5.995939837212351
7	-5.382462001882908	-104.2149527471192	-104.2126760101861	-6.007660153274164
7.1	-5.262390767410874	-106.7859909813749	-106.7774598694004	-6.074609083433909
7.2	-5.137347166297959	-110.2918478293656	-110.2750826134787	-6.175629126270731
7.3	-5.035491191957206	-112.6313708145107	-112.6266789910497	-6.268258393473202
7.4	-4.978546959876693	-111.4858359056829	-111.5080466411925	-6.308180856897188
7.5	-4.975392394870562	-109.8553563323263	-109.8854054715203	-6.277573705066885
7.6	-5.021885335746442	-108.9812687016035	-109.0101350811204	-6.195658974241466
7.7	-5.107527183124078	-108.493773220526	-108.5148668707574	-6.11287052554415
7.8	-5.210269739246235	-107.8055014538942	-107.8142815121988	-6.080790847630531
7.9	-5.307778892654546	-106.9090590158202	-106.9075746795879	-6.130480248797911
8	-5.388057194566191	-106.1872122953974	-106.1804892609987	-6.258076620203495
8.1	-5.456928008683333	-106.1164465107775	-106.1077146782382	-6.424883898193747
8.199999999999999	-5.53427515578262	-107.0355014422177	-107.0258670193639	-6.575056284999822
8.300000000000001	-5.644516011023219	-109.4687165780273	-109.4573813292033	-6.663494921855681
8.4	-5.808179144339148	-114.5567206093945	-114.5371594729569	-6.676925533154801
8.5	-6.024894902758038	-119.816087673698	-119.7801234421399	-6.646202543837604
8.6	-6.270050238852365	-112.5146864642724	-112.5081971215926	-6.619526861012671
8.699999999999999	-6.511078057056326	-108.4514928931641	-108.4481362767617	-6.634581300419219
8.800000000000001	-6.697448718541004	-106.7336920543315	-106.7311336077734	-6.703939103354323
8.9	-6.815540376092704	-106.6872397271373	-106.684923195052	-6.802538508741725
9	-6.870688672236177	-108.3758124891192	-108.3730432127626	-6.89133517827042
9.1	-6.908681719191768	-112.8447269969788	-112.8381869756875	-6.921840778561449
9.199999999999999	-6.969895347172107	-124.6707283176677	-124.592911846066	-6.875785455362264
9.300000000000001	-7.083352365867633	-113.4640603296464	-113.4665512403818	-6.772180181172894
9.4	-7.242464616184866	-91.97919839997056	-91.97811952628128	-6.644525874708869
9.5	-7.40123971954416	-92.20301033358933	-92.20129776895037	-6.542706715520775
9.6	-7.508550910654468	-92.81732823013562	-92.81494489365789	-6.473751744016961
9.699999999999999	-7.539420001969022	-93.60960520593466	-93.60646271412988	-6.440211226235709
9.800000000000001	-7.491348240756625	-92.38537925691915	-92.38879187773158	-6.420874281000208
9.9	-7.432018231067628	-105.8145282026835	-105.8235331872237	-6.389222127916452
10	-7.412070025941481	-106.1042527914766	-106.1022428499991	-6.326554887612403
10.1	-7.46598228927856	-95.23471229551836	-95.24068398132593	-6.233502039090345
10.2	-7.592560081895248	-95.85604172805715	-95.86223275555604	-6.137348128701293
10.3	-7.751756864453364	-101.2634829875549	-101.2533337968946	-6.051098049261782
10.4	-7.87372131363218	-106.5474672715611	-106.5325643025681	-6.008499134677843
10.5	-7.913528479518272	-82.32079338757489	-82.3218616935644	-6.016838328770002
10.6	-7.892348588487067	-91.06418320867604	-91.06599162241437	-6.062399202722385
10.7	-7.887908312823175	-95.52969995921805	-95.53094334518414	-6.129672438627722
10.8	-7.962161184655029	-87.95064334280055	-87.95217611375222	-6.184249230719143
10.9	-8.134356693043253	-88.85262141191672	-88.85263463439796	-6.226135447221629
11	-8.382624974293597	-84.12337835817546	-84.12203528957049	-6.250973429587477
11.1	-8.635995096567168	-100.4063810979321	-100.3975655172536	-6.286076220770412
11.2	-8.815293699086176	-88.68994410536558	-88.68916218950281	-6.362170870934015
11.3	-8.915421582873348	-88.50081323352406	-88.5025216415097	-6.493186189666034
11.4	-8.972388206049022	-86.95813297512296	-86.95732367894308	-6.684357035024023
11.5	-9.073615482965346	-85.60853471265489	-85.60801414328682	-6.898993712642935
11.6	-9.274293349866529	-98.27994890340833	-98.28001526261851	-7.097873141258399
11.7	-9.567556476189893	-92.83571270243647	-92.83603563265325	-7.255791558114036
11.8	-9.891724015276697	-108.1352411319738	-108.126875418417	-7.386637271534031
11.9	-10.1597278799219	-87.01138738567622	-87.01096319537571	-7.529402550830179
12	-10.32865079982134	-114.7342649557342	-114.702244436959	-7.738424038332123
12.1	-10.4367257693327	-88.32667898528756	-88.32494141887523	-8.033548831449425
12.2	-10.56823361550792	-89.97258459826037	-89.97212866812097	-8.390500208729177
12.3	-10.77074295898467	-96.16521928929059	-96.1611149183055	-8.752653633314976
12.4	-11.06784031581896	-91.55386761556713	-91.55229730186592	-9.054770001014383
12.5	-11.41495484397637	-92.25508354430863	-92.25747683080372	-9.277446446881116
12.6	-11.72079307158441	-93.96703522630568	-93.96445924349689	-9.484119418893648
12.7	-11.94188936900764	-93.30973505042223	-93.307785625089	-9.751098693617259
12.8	-12.07136268802348	-90.98065420070213	-90.98015327606659	-10.13462799067652
12.9	-12.19268863454221	-100.3787659158114	-100.377663137842	-10.62460654232701
13	-12.3770877175408	-97.33765475532294	-97.3392278133946	-11.14713081041112
13.1	-12.64200382500341	-91.96289362197604	-91.96328387103271	-11.60842080722044
13.2	-12.97746493078123	-95.60159686595779	-95.60072348319193	-11.94169575636236
13.3	-13.32371123300231	-108.3877269699963	-108.3936338765035	-12.20865476385862
13.4	-13.59791302356982	-89.85133207102433	-89.85084694698189	-12.52454727075791
13.5	-13.76574838244245	-94.82375358785418	-94.82619059428393	-12.99547176395683
13.6	-13.88605255196534	-92.67407449778483	-92.67164671685964	-13.61221997409659
13.7	-14.01121774554863	-90.14990015853721	-90.15119644580365	-14.29377621266839
13.8	-14.21715793573185	-96.29210081279199	-96.28977775472023	-14.88272890586498
13.9	-14.54280013189985	-96.10648468994438	-96.10560973308445	-15.27375728550834
14	-14.91146662373163	-96.2820232503405	-96.28030784362102	-15.55597522992231
14.1	-15.26279329572434	-94.25558613048153	-94.25549818375238	-15.89727711197333
14.2	-15.4889649503384	-95.2972420124439	-95.29728221364117	-16.45013630902999
14.3	-15.62193854999582	-100.2160858570981	-100.2086454769277	-17.23420029697661
14.4	-15.72076724726368	-89.70188333711053	-89.70522127208595	-18.14347307950458
14.5	-15.8988092982453	-85.57136270492236	-85.57403974077749	-18.92840490468047
14.6	-16.23085609511133	-109.4310621724736	-109.472479247132	-19.39921695545414
14.7	-16.64533379015755	-104.4063313412151	-104.4163965129856	-19.68181717372046
14.8	-17.08338699955802	-94.61918652842519	-94.6236134085072	-20.00068102443387
14.9	-17.40312529954322	-93.17245711629292	-93.17060984137495	-20.59313949309976
15	-17.54003821842498	-86.4043826344318	-86.40485923492992	-21.51096086887239
15.1	-17.59303314652508	-88.81868143176844	-88.81642405332094	-22.56052462357337
15.2	-17.76773657804274	-88.80495034507888	-88.80281569857139	-23.40138129422263
15.3	-18.12919850366262	-100.4790135824506	-100.4814749631005	-23.7914064327645
15.4	-18.70838449020301	-87.14847902029553	-87.14736445527654	-23.90185195270226
15.5	-19.31808431038644	-121.0601925551464	-121.0038637559769	-24.14498885316167
15.6	-19.75206563059508	-96.04212981576819	-96.04770577437046	-24.7482126904382
15.7	-19.89098376060474	-93.33575890046843	-93.32824863096867	-25.74545493576121
15.8	-19.87823590145694	-97.46863694095886	-97.45461639255417	-26.82381178367437
15.9	-19.99307285371383	-102.786038114741	-102.8136019115949	-27.44472131924809
16	-20.40777493259925	-99.95746196048901	-99.94725033819675	-27.38000101058922
16.1	-21.08398503779392	-93.54877190945609	-93.5480612224231	-27.0505830997277
16.2	-21.86349014149562	-94.23955161193311	-94.24883833261192	-26.92596047590024
16.3	-22.40441366410594	-100.4030276227608	-100.4111761737527	-27.24596005592658
16.4	-22.57569454674531	-98.18939261767264	-98.1984970160545	-27.86217317187024
16.5	-22.54875069474791	-96.89298664232184	-96.88382463728249	-28.44355433283769
